,Title,Published_date,Views,Likes,Dislikes,Comments,Month
532,Python Tutorial - 23. List Set Dict Comprehensions,2016-05-02,18469,240,0,17,May
533,Python Tutorial - 22. Generators,2016-04-30,42245,432,0,31,Apr
534,Python Tutorial - 21. Iterators,2016-04-23,50197,441,0,44,Apr
535,Python Tutorial - 20. Raise Exception And Finally,2016-04-19,34337,226,0,24,Apr
536,Python Tutorial  - 19. Multiple Inheritance,2016-04-09,26547,238,0,17,Apr
537,Julia Tutorial - 10. Exception Handling,2016-04-03,3896,38,0,10,Apr
538,Julia Tutorial - 9. Tasks (a.k.a. Generators or Coroutines),2016-04-03,5956,51,0,9,Apr
539,Python Tutorial - 12.1 - Install Python Module (using pip),2016-04-01,81108,735,0,61,Apr
540,Julia Tutorial - 8. begin and (;) Compound Expressions,2016-03-28,4163,22,0,1,Mar
541,Python Tutorial  - 18. Inheritance,2016-03-27,45061,466,0,58,Mar
542,Julia Tutorial - 7. For While Loop,2016-03-22,6865,44,0,4,Mar
543,Julia Tutorial - 6. If Statement and Ternary Operator,2016-03-20,4951,30,0,1,Mar
544,Julia Tutorial - 5. Functions,2016-03-20,9118,73,0,9,Mar
545,Python Tutorial -  17. Class and Objects,2016-03-13,154280,2010,0,136,Mar
546,Julia Tutorial - 4. Strings,2016-03-02,6141,48,0,8,Mar
547,Julia Tutorial - 3. Complex and Rational Numbers,2016-02-28,8316,64,0,5,Feb
548,Python Tutorial  - 16. Exception Handling,2016-02-27,37657,314,0,24,Feb
549,Julia Tutorial - Why Should I Learn Julia Programming Language,2016-02-24,110747,906,0,63,Feb
550,"Python Tutorial - 15. if __name__ == ""__main__""",2016-02-20,73197,811,0,26,Feb
551,Julia Tutorial - 2. Numbers,2016-02-18,10942,74,0,5,Feb
552,Julia Tutorial - 1. Variables,2016-02-15,18542,102,0,9,Feb
553,Python Tutorial - 14. Working With JSON,2016-02-14,111891,1135,0,92,Feb
554,How to install Julia on Windows,2016-02-13,27193,155,0,12,Feb
555,Python Tutorial - 13. Reading/Writing Files,2016-02-07,138833,1628,0,115,Feb
556,Python Tutorial - 12. Modules,2016-01-31,42094,359,0,23,Jan
557,Python Tutorial - 11. Dictionaries and Tuples,2016-01-17,38483,397,0,37,Jan
558,Python Tutorial -  10. Functions,2016-01-10,43421,460,0,82,Jan
559,Python Tutorial - 9. For loop,2016-01-02,25239,220,0,58,Jan
560,Python Tutorial -  8. If Statement,2015-12-26,22696,173,0,23,Dec
561,PyCharm Tutorial - 7. Debug python code using PyCharm,2015-12-26,83734,643,0,63,Dec
562,Python Tutorial - 6. Install PyCharm on Windows,2015-12-24,20120,157,0,24,Dec
563,Python Tutorial - 5. Lists,2015-12-20,32550,310,0,54,Dec
564,Python Tutorial - 4. Strings,2015-12-20,28212,313,0,28,Dec
565,Python Tutorial - 3. Numbers,2015-12-20,31815,315,0,31,Dec
566,Python Tutorial - 2. Variables,2015-12-20,41869,326,0,25,Dec
567,Python Tutorial - 1. Install python on windows,2015-12-20,46765,362,0,15,Dec
